,Enqueue() Empty,Enqueue() Full: 250000,Dequeue() Empty,Dequeue() Full: 250000,GetLength() : 250000
0,14000,377732000,3000,186239000,2000
1,11000,382577000,2000,186598000,2000
2,10000,366713000,2000,207644000,2000
3,9000,409505000,2000,189466000,2000
4,15000,372560000,3000,201781000,2000
5,14000,388265000,3000,185436000,1000
6,10000,387074000,2000,182643000,2000
7,12000,416108000,2000,177295000,1000
8,19000,383285000,3000,187267000,7000
9,10000,376923000,2000,182309000,2000
10,14000,373041000,3000,190658000,2000
11,10000,417171000,2000,177310000,2000
12,54000,371839000,3000,177345000,2000
13,14000,378697000,3000,187724000,2000
14,11000,381478000,2000,175072000,1000
15,12000,429451000,3000,185804000,1000
16,10000,402869000,2000,198403000,2000
17,10000,400718000,2000,191196000,2000
18,14000,384351000,3000,182050000,2000
19,12000,426631000,2000,184716000,1000
20,12000,376257000,3000,181222000,2000
21,10000,407423000,3000,198891000,1000
22,48000,408233000,3000,187307000,1000
23,10000,427927000,1000,189457000,2000
24,14000,387869000,3000,188024000,1000
