,Push() Empty,Push() Full: 10000,Pop() Empty,Pop() Full: 10000,GetLength() : 10000
0,2000,1751000,2000,1986000,1000
1,1000,1501000,0,1869000,1000
2,1000,1464000,1000,1890000,1000
3,1000,1433000,0,1843000,1000
4,1000,1583000,1000,2149000,2000
5,2000,1493000,1000,2250000,0
6,2000,1540000,1000,1898000,1000
7,1000,1425000,0,1947000,0
8,1000,1480000,1000,1879000,1000
9,1000,1443000,0,1947000,0
10,1000,1683000,0,2134000,3000
11,3000,1466000,1000,2115000,1000
12,4000,1450000,2000,2113000,2000
13,4000,1759000,2000,2497000,2000
14,2000,1562000,1000,1931000,2000
15,2000,1775000,0,1935000,2000
16,2000,1539000,1000,1979000,1000
17,1000,1683000,1000,1996000,2000
18,3000,1548000,1000,1908000,2000
19,2000,1643000,1000,2149000,1000
20,2000,1491000,1000,1878000,0
21,1000,1614000,1000,2164000,1000
22,5000,2401000,2000,1898000,2000
23,2000,1552000,1000,2013000,1000
24,2000,1480000,1000,2042000,1000
